year;artists;explicit;name;popularity;tempo;artists_song
2002;Johnny Cash;0;Hurt;76;90.379;Johnny Cash - Hurt
2002;3 Doors Down;0;Here Without You;76;143.994;3 Doors Down - Here Without You
2002;Nelly;1;Hot In Herre;72;107.075;Nelly - Hot In Herre
2002;Ashanti;1;Foolish;71;90.119;Ashanti - Foolish
2002;Audioslave;0;Like a Stone;77;107.849;Audioslave - Like a Stone
2002;Ying Yang Twins;1;Get Low;71;101.019;Ying Yang Twins - Get Low
2002;Coldplay;0;Clocks;77;130.97;Coldplay - Clocks
2002;3 Doors Down;0;When I'm Gone;69;148.095;3 Doors Down - When I'm Gone
2002;Toby Keith;0;Beer For My Horses;67;119.005;Toby Keith - Beer For My Horses
2002;Maroon 5;0;She Will Be Loved;73;102.037;Maroon 5 - She Will Be Loved
2002;Justin Timberlake;0;Rock Your Body;72;100.972;Justin Timberlake - Rock Your Body
2002;Ying Yang Twins;1;Say I Yi Yi;69;94.967;Ying Yang Twins - Say I Yi Yi
2002;The Chicks;0;Landslide;69;14.594.799.999.999.900;The Chicks - Landslide
2002;Justin Timberlake;0;Cry Me a River;74;73.884;Justin Timberlake - Cry Me a River
2002;Missy Elliott;1;Work It;70;101.868;Missy Elliott - Work It
2002;Queens of the Stone Age;0;No One Knows;66;170.889;Queens of the Stone Age - No One Knows
2002;The All-American Rejects;0;Swing, Swing;67;127.947;The All-American Rejects - Swing, Swing
2002;Aventura;0;Obsesion;74;13.368.200.000.000.000;Aventura - Obsesion
2002;Eminem;1;Superman;72;13.002.700.000.000.000;Eminem - Superman
2002;Taking Back Sunday;0;Cute Without The 'E' (Cut From The Team);67;95.31;Taking Back Sunday - Cute Without The 'E' (Cut From The Team)
2002;Foo Fighters;0;All My Life;73;16.771.900.000.000.000;Foo Fighters - All My Life
2002;Audioslave;0;Show Me How to Live;71;89.4;Audioslave - Show Me How to Live
2002;Maroon 5;0;Sunday Morning;71;88.059;Maroon 5 - Sunday Morning
